entry_time,exit_time,side,entry,exit,stop,target,qty,notional,bars_held,reason,net,r_mult,equity,year
2024-07-15 20:00:00+00:00,2024-07-27 12:00:00+00:00,L,63361.0026,68954.70987512755,61496.433508290815,68954.70987512755,0.11776677236748559,7461.820770169863,70,target,624.8452814688494,2.8455828927885727,11604.059470807097,2024
2024-08-01 16:00:00+00:00,2024-08-01 20:00:00+00:00,S,62888.567768,65022.638138249764,65003.13719709064,56544.85948072809,0.10975340238222762,6902.234283483294,1,stop,-241.58594079769819,-1.0409544237750066,11362.473530009398,2024
2024-08-03 00:00:00+00:00,2024-08-05 00:00:00+00:00,S,61479.890498,53449.96305961067,64156.53297746311,53449.96305961067,0.0849009430074391,5219.700679274295,12,target,673.7377649196252,2.964749546567559,12036.211294929024,2024
2024-08-23 20:00:00+00:00,2024-08-27 12:00:00+00:00,L,63647.928651999995,61519.49477897859,61537.956165828335,69977.84611051499,0.11408879853943059,7261.515709430079,22,stop,-257.9582311017707,-1.0715923174697468,11778.253063827253,2024
2024-09-04 04:00:00+00:00,2024-09-12 12:00:00+00:00,S,56636.993803,58551.82858687452,58534.26830638261,50945.170292852155,0.12415971482068647,7032.0329988814665,50,stop,-262.47632886102423,-1.1142413371433137,11515.776734966228,2024
2024-09-14 00:00:00+00:00,2024-09-15 20:00:00+00:00,L,60516.139397,58722.85583331054,58740.47797670355,65843.12365788934,0.1297068979855817,7849.360719247919,11,stop,-244.65145674539605,-1.062244702967114,11271.125278220832,2024
2024-09-17 16:00:00+00:00,2024-09-18 08:00:00+00:00,L,61153.830646999995,59415.14450941561,59432.97440173613,66316.3993827916,0.13099438502479413,8010.8084375141725,4,stop,-237.25721240834642,-1.0525001122416675,11033.868065812485,2024
2024-09-19 00:00:00+00:00,2024-10-10 16:00:00+00:00,L,61778.507994,59619.55216444972,59637.44339746896,68201.70178359313,0.10306898805098717,6367.4483022414015,130,stop,-270.1659941690381,-1.2242578602427046,10763.702071643447,2024
2024-10-14 08:00:00+00:00,2024-10-20 20:00:00+00:00,L,64640.256261,69215.26218338597,63115.25428687134,69215.26218338597,0.1411631231204603,9124.820453109649,39,target,618.5809928997833,2.8734583546743213,11382.28306454323,2024
2024-10-28 20:00:00+00:00,2024-11-03 00:00:00+00:00,L,69650.878997,68173.39838746777,68193.8565444311,74021.94635470676,0.15624032484159486,10882.275959993898,31,stop,-258.47643305326926,-1.1354331621678129,11123.80663148996,2024
2024-11-06 04:00:00+00:00,2024-11-11 12:00:00+00:00,L,74370.834559,82485.63049721831,71665.9025795939,82485.63049721831,0.08224832798887828,6116.876793615235,32,target,651.1908040270532,2.9270142209395384,11774.997435517014,2024
2024-11-11 20:00:00+00:00,2024-11-21 00:00:00+00:00,L,86128.040663,95082.5644450589,83143.19940231371,95082.5644450589,0.07889865093066699,6795.38621561233,55,target,680.663897899409,2.890293189560778,12455.661333416423,2024
2024-11-21 08:00:00+00:00,2024-11-25 20:00:00+00:00,L,96941.08360299999,93795.66770561987,93823.8148500749,106292.88986177529,0.07991393954549876,7746.943894525282,27,stop,-269.44221273288605,-1.0816054062501617,12186.219120683538,2024
2024-12-05 04:00:00+00:00,2024-12-05 16:00:00+00:00,L,102994.88919999999,99495.16176330564,99525.01926908636,113404.49899274089,0.07024020705856744,7234.382343382211,3,stop,-254.01820870694888,-1.0422355210887622,11932.200911976588,2024
2024-12-16 00:00:00+00:00,2024-12-18 20:00:00+00:00,L,104495.329197,101858.67728504082,101889.2440582583,112313.5846132251,0.09157184264315953,9568.829842172838,17,stop,-259.0246876577384,-1.0854019705524325,11673.17622431885,2024
2024-12-20 12:00:00+00:00,2024-12-20 12:00:00+00:00,S,92696.17280300001,97238.74831758109,97209.58544194851,79155.9348861545,0.05172660759437394,4794.858556081059,0,stop,-239.88436567718333,-1.0275025454401594,11433.291858641665,2024
2024-12-30 16:00:00+00:00,2024-12-30 16:00:00+00:00,S,92102.57093700001,94480.13768245651,94451.80214181397,85054.87732255812,0.09733645488117956,8964.937740449941,0,stop,-240.5045679456923,-1.0517730629079973,11192.787290695973,2024
2025-01-06 16:00:00+00:00,2025-01-07 12:00:00+00:00,L,102178.59438499999,99935.62608825517,99965.61577298706,108817.53022103876,0.10115585600273841,10335.963180171275,5,stop,-239.69588733041812,-1.0707604866647729,10953.091403365555,2025
2025-01-13 12:00:00+00:00,2025-01-13 20:00:00+00:00,S,90823.974631,93509.20338253351,93481.15903482307,82852.4214195308,0.0824413344260685,7487.649666459033,2,stop,-229.72094306953082,-1.04865802087137,10723.370460296024,2025
2025-01-17 16:00:00+00:00,2025-01-19 20:00:00+00:00,L,104031.2,101006.49831682697,101036.80935963485,113014.37192109546,0.07162305622881823,7451.032487151435,13,stop,-228.8242631437382,-1.066941891035915,10494.546197152285,2025
2025-01-20 08:00:00+00:00,2025-01-20 16:00:00+00:00,L,107152.786195,102290.6435295634,102321.33993154285,121647.12498537141,0.04344266964750599,4655.003092479225,2,stop,-216.2393487665365,-1.0302463046244603,10278.30684838575,2025
2025-02-03 04:00:00+00:00,2025-02-03 12:00:00+00:00,S,94010.538375,97792.3172535803,97762.98835707319,82753.18842878043,0.054781845980567,5150.070833809434,2,stop,-212.94149239016713,-1.035878260550328,10065.365355995582,2025
2025-02-25 00:00:00+00:00,2025-02-26 16:00:00+00:00,S,91525.414136,84702.37127431126,93799.76175656292,84702.37127431126,0.08851211015406996,8101.107537902504,10,target,592.0722210135616,2.9411362631803777,10657.437577009143,2025
