tf,k,mode,stop,rr,direction,n_trades,win_rate,expectancy_R,profit_factor,avg_monthly,max_dd,sharpe,mar,pct_long
1h,3,cont,struct,2.0,short,268,0.3358208955223881,-0.054231052301100945,0.9096032015995009,-0.002171056812025042,-0.2743332594397129,-0.2720267351432477,-0.00791393947806081,0.0
1h,3,cont,struct,3.0,both,375,0.296,0.10424098743043968,1.100692726155744,0.005756227074501002,-0.2827890177328626,0.47948477843647097,0.02035520021480692,0.56
1h,3,cont,struct,3.0,short,224,0.2544642857142857,-0.05505231278760353,0.9135420867175252,-0.0018562267314985934,-0.3253363836051104,-0.20370983663752476,-0.0057055614589718315,0.0
1h,3,cont,atr,2.0,both,794,0.34886649874055414,-0.02724862441663097,0.9551246888019937,-0.003638903620819426,-0.4720267819614826,-0.23683143772943194,-0.007709104143833009,0.5541561712846348
1h,3,cont,atr,2.0,short,381,0.33858267716535434,-0.05402899533782116,0.9191438474626819,-0.0035888494442312454,-0.39703620390178473,-0.3216519824094888,-0.009039098724405049,0.0
1h,3,cont,atr,3.0,both,682,0.2565982404692082,-0.053793237620867136,0.9263198284255001,-0.005861229513637666,-0.500087752178151,-0.36449429938751937,-0.011720402045658707,0.5542521994134897
1h,3,cont,atr,3.0,short,330,0.23939393939393938,-0.11881380531790839,0.8458168028795258,-0.006372503594303537,-0.42514430450056795,-0.5576871018340293,-0.014989036726693404,0.0
1h,3,rev,struct,2.0,both,411,0.3284671532846715,-0.07750425241550918,0.8738666302633241,-0.004282622922086579,-0.32668246290163205,-0.48045621197567984,-0.013109436252095746,0.45985401459854014
1h,3,rev,struct,2.0,short,333,0.32732732732732733,-0.07983103324272248,0.880132259867372,-0.003950280728243102,-0.39215311529911445,-0.44632759158018115,-0.01007331211746215,0.0
1h,3,rev,struct,3.0,both,298,0.2550335570469799,-0.052158985383412605,0.9148515199232984,-0.0018981168142008786,-0.2710626166715411,-0.22753285416028382,-0.007002503102450727,0.4697986577181208
