strat,tf,direction,rr,ema_fast,ema_slow,ema_pull,atr_n,atr_mult,n_trades,avg_monthly,total_return,cagr,max_dd,sharpe,sortino,win_rate,profit_factor,expectancy_R,mar_monthly,pct_long,ema_trend,n,adx_n,adx_max,k
H1_trend_pullback,1h,both,2.5,50.0,200.0,20.0,14,1.0,1858,-0.05198689267875881,-0.9729729952856843,-0.4929466568058013,-0.9748049204449516,-2.0856279921285124,-4.700499352004257,0.27771797631862216,0.8111254323663939,-0.18172057061009134,-0.05333056039051311,0.515069967707212,,,,,
H1_trend_pullback,1h,short,2.5,50.0,200.0,20.0,14,1.0,907,-0.01874160963112244,-0.7210347407920068,-0.2134624605490888,-0.7344533782186711,-1.0399841687846292,-1.6922868255030656,0.2932745314222712,0.8419480485857745,-0.12775646977410055,-0.025517766255739708,0.0,,,,,
H1_trend_pullback,1h,both,3.0,50.0,200.0,20.0,14,1.0,1779,-0.04704452370631567,-0.9633139542014157,-0.4629529500602202,-0.9665620329482261,-1.7491588807727163,-4.322572731137487,0.24620573355817876,0.833561500052757,-0.17070658109153783,-0.04867201700735085,0.5205171444631815,,,,,
H1_trend_pullback,1h,short,3.0,50.0,200.0,20.0,14,1.0,859,-0.017524943918331752,-0.7052119366558046,-0.205258681789375,-0.7317808510313419,-0.911730420573676,-1.6435042305069616,0.2572759022118743,0.8494866960927143,-0.12668910045119894,-0.02394834996520176,0.0,,,,,
H1_trend_pullback,1h,both,2.0,50.0,200.0,20.0,14,1.5,1334,-0.01660163565389903,-0.6918778547452746,-0.19861840580661572,-0.7131671576345344,-0.8650412688225539,-2.3897196162380205,0.3410794602698651,0.897669573368516,-0.07802800565846933,-0.023278743946880696,0.5134932533733133,,,,,
H1_trend_pullback,1h,short,2.0,50.0,200.0,20.0,14,1.5,659,-0.008371720926023686,-0.4398898857514174,-0.10328292364505565,-0.48319094559390063,-0.6127216487050928,-1.2156837284949018,0.34142640364188165,0.8858777470938596,-0.07769962700544739,-0.017325906046798577,0.0,,,,,
H1_trend_pullback,1h,both,2.5,50.0,200.0,20.0,14,1.5,1201,-0.012099623879361828,-0.5824685283453566,-0.15148506004292606,-0.6318884469239964,-0.5603841718251807,-1.7077836918712712,0.29891756869275604,0.917785400977483,-0.05986309982806085,-0.019148354330993447,0.5237302248126561,,,,,
H1_trend_pullback,1h,short,2.5,50.0,200.0,20.0,14,1.5,586,-0.006816501993057977,-0.378911808924734,-0.08568380523764929,-0.45396586018622076,-0.45678422694469223,-1.0125046208451278,0.29692832764505117,0.9001202962985674,-0.06844635320798029,-0.015015450699886966,0.0,,,,,
H1_trend_pullback,1h,both,3.0,50.0,200.0,20.0,14,1.5,1093,-0.007502442444613337,-0.45053094174591346,-0.10651203521628505,-0.5667209369072073,-0.31362392109782583,-1.0160290323154513,0.26715462031107046,0.9439289582905483,-0.039203114733998345,-0.01323833646513356,0.5297346752058555,,,,,
H1_trend_pullback,1h,short,3.0,50.0,200.0,20.0,14,1.5,526,-0.0029058655417736005,-0.20346157389339536,-0.04188192938826418,-0.3411052275686641,-0.15448876728248942,-0.3747091739710738,0.26996197718631176,0.9495961155901671,-0.02756179528686648,-0.008518971000491784,0.0,,,,,
H1_trend_pullback,1h,both,2.0,50.0,200.0,20.0,14,2.0,931,-0.007902763973003648,-0.4350686478072232,-0.10183625450672618,-0.5166064318748687,-0.47492738617281227,-1.7974970648106319,0.34371643394199786,0.9239149237234099,-0.05114753273241232,-0.015297455636243103,0.5284640171858217,,,,,
H1_trend_pullback,1h,short,2.0,50.0,200.0,20.0,14,2.0,456,-0.0021229728514749486,-0.14792205849409545,-0.02965851389637375,-0.3123447573330399,-0.16229210345449172,-0.4684888056445938,0.3530701754385965,0.9525127087406573,-0.024785979436876125,-0.006796889660008966,0.0,,,,,
H1_trend_pullback,1h,both,2.5,50.0,200.0,20.0,14,2.0,811,-0.008606537570087348,-0.4583333910706153,-0.10891216840620521,-0.5400933496797793,-0.4881643403577936,-1.9852614721293769,0.2922318125770654,0.910673135206607,-0.062963613668615,-0.01593527780927159,0.5376078914919852,,,,,
H1_trend_pullback,1h,short,2.5,50.0,200.0,20.0,14,2.0,390,-0.00197646638881362,-0.14203689121491936,-0.028401527067609345,-0.3593788672807494,-0.14265000052944482,-0.4101994946708019,0.30256410256410254,0.950113252142631,-0.02640019506571788,-0.005499673377482126,0.0,,,,,
H1_trend_pullback,1h,both,3.0,50.0,200.0,20.0,14,2.0,719,-0.007051855435498756,-0.39473851114031056,-0.09011186882796962,-0.5239943735819865,-0.3640985334217762,-1.5339931781238227,0.25869262865090403,0.9200320708875025,-0.05464084257338183,-0.013457883883929512,0.5618915159944368,,,,,
H1_trend_pullback,1h,short,3.0,50.0,200.0,20.0,14,2.0,327,-0.001529450049404876,-0.121995962179822,-0.024172924951212482,-0.3974310960029702,-0.10905713606720237,-0.3107594692951371,0.26605504587155965,0.9509194904170606,-0.0243152996240145,-0.0038483401645890473,0.0,,,,,
H1_trend_pullback,4h,both,2.0,50.0,200.0,20.0,14,1.0,448,-0.0011510146722538,-0.08213614468733776,-0.015990338163033413,-0.22680374494244537,-0.055317406033418504,-0.20776225690593922,0.35714285714285715,0.9736734272836299,-0.00878139594107363,-0.005074936802943382,0.4486607142857143,,,,,
H1_trend_pullback,4h,short,2.0,50.0,200.0,20.0,14,1.0,247,-0.0009874063214388943,-0.05930349738995688,-0.01143232354241952,-0.17244290567717901,-0.06878426999278642,-0.21580492172517174,0.3562753036437247,0.9670295163355457,-0.01437693493629917,-0.005725989814201832,0.0,,,,,
H1_trend_pullback,4h,both,2.5,50.0,200.0,20.0,14,1.0,418,0.00014300159671975197,-0.008103242540467015,-0.0015290903744549222,-0.2169137249884383,0.06100152683120676,0.24564378191384242,0.3133971291866029,0.9975136587433799,0.011168368608480262,0.0006592556405887828,0.45215311004784686,,,,,
H1_trend_pullback,4h,short,2.5,50.0,200.0,20.0,14,1.0,229,-0.0017876075197610503,-0.10473449970560067,-0.02059314945799462,-0.21082883543127795,-0.14643659277374615,-0.48931138404506,0.30131004366812225,0.9396331374311568,-0.035450507089750095,-0.008478951734018097,0.0,,,,,
H1_trend_pullback,4h,both,3.0,50.0,200.0,20.0,14,1.0,391,0.00010429103856083276,-0.004534247355172383,-0.0008543721462638265,-0.2722652143215425,0.07039316956717985,0.3002796136794967,0.27621483375959077,0.9986831373165915,0.0146280556913454,0.0003830494425103682,0.4629156010230179,,,,,
H1_trend_pullback,4h,short,3.0,50.0,200.0,20.0,14,1.0,210,-0.003533650651377297,-0.19098003406358743,-0.03907600479705742,-0.2795390619270849,-0.31252694850784535,-1.0772670937496194,0.2523809523809524,0.8857925461843611,-0.08595056064554427,-0.012640990590070077,0.0,,,,,
